family	tag	plan	seed	steps	lr	lambda_align	lambda_safe
fixed_plan_recovery_seed	paper_exact_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	1.5e-5	2.0	0.08
fixed_plan_recovery_seed	paper_exact_seed17	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	17	25	1.5e-5	2.0	0.08
fixed_plan_recovery_seed	paper_exact_seed23	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	23	25	1.5e-5	2.0	0.08
recovery_steps_sensitivity	paper_steps_10_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	10	1.5e-5	2.0	0.08
recovery_steps_sensitivity	paper_steps_50_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	50	1.5e-5	2.0	0.08
recovery_lr_sensitivity	paper_lr_3e_6_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	3e-6	2.0	0.08
recovery_lr_sensitivity	paper_lr_5e_6_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	5e-6	2.0	0.08
recovery_lr_sensitivity	paper_lr_3e_5_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	3e-5	2.0	0.08
recovery_lambda_align_sensitivity	paper_lambda_align_1p0_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	1.5e-5	1.0	0.08
recovery_lambda_align_sensitivity	paper_lambda_align_1p5_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	1.5e-5	1.5	0.08
recovery_lambda_align_sensitivity	paper_lambda_align_2p5_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	1.5e-5	2.5	0.08
recovery_lambda_safe_sensitivity	paper_lambda_safe_0_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	1.5e-5	2.0	0
recovery_lambda_safe_sensitivity	paper_lambda_safe_0p04_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	1.5e-5	2.0	0.04
recovery_lambda_safe_sensitivity	paper_lambda_safe_0p12_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/paper_exact_21.json	13	25	1.5e-5	2.0	0.12
budget_sweep_forced_nogate	paper_budget_001_forced_nogate_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/budget_001_forced_nogate.json	13	25	1.5e-5	2.0	0.08
budget_sweep_forced_nogate	paper_budget_003_forced_nogate_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/budget_003_forced_nogate.json	13	25	1.5e-5	2.0	0.08
budget_sweep_forced_nogate	paper_budget_005_forced_nogate_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/budget_005_forced_nogate.json	13	25	1.5e-5	2.0	0.08
budget_sweep_forced_nogate	paper_budget_010_forced_nogate_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/budget_010_forced_nogate.json	13	25	1.5e-5	2.0	0.08
threshold_sweep	paper_threshold_nogate_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/threshold_nogate_b1379.json	13	25	1.5e-5	2.0	0.08
threshold_sweep	paper_threshold_n002_seed13	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor/plans/threshold_n002_b1379.json	13	25	1.5e-5	2.0	0.08
