tag	stage	status	note
llama_word_budget_460_nogate	all	done	ASR=0.14166666666666666 BFR=0.38
llama_word_budget_1379_nogate	all	done	ASR=0.15 BFR=0.39
llama_word_budget_2299_nogate	all	done	ASR=0.16666666666666666 BFR=0.35
llama_word_budget_4598_nogate	all	done	ASR=0.175 BFR=0.46
llama_phrase_strong_budget_460_nogate	all	done	ASR=0.09166666666666666 BFR=0.66
llama_phrase_strong_budget_1379_nogate	all	done	ASR=0.13333333333333333 BFR=0.45
llama_phrase_strong_budget_2299_nogate	all	done	ASR=0.10833333333333334 BFR=0.59
llama_phrase_strong_budget_4598_nogate	all	done	ASR=0.175 BFR=0.5
llama_phrase_balanced_budget_460_nogate	all	done	ASR=0.2 BFR=0.18
llama_phrase_balanced_budget_1379_nogate	all	done	ASR=0.16666666666666666 BFR=0.17
llama_phrase_balanced_budget_2299_nogate	all	done	ASR=0.225 BFR=0.23
llama_phrase_balanced_budget_4598_nogate	all	done	ASR=0.25833333333333336 BFR=0.23
llama_long_budget_460_nogate	all	done	ASR=0.20833333333333334 BFR=0.24
llama_long_budget_1379_nogate	all	done	ASR=0.20833333333333334 BFR=0.3
llama_long_budget_2299_nogate	all	done	ASR=0.23333333333333334 BFR=0.22
llama_long_budget_4598_nogate	all	done	ASR=0.275 BFR=0.22
llama_word_threshold_nogate_b1379	all	done	ASR=0.15 BFR=0.39
llama_word_threshold_0p05_b1379	all	done	ASR=0.15 BFR=0.39
llama_word_threshold_0p0_b1379	all	done	ASR=0.14166666666666666 BFR=0.39
llama_word_threshold_n0p02_b1379	all	done	ASR=0.18333333333333332 BFR=0.36
llama_word_threshold_n0p05_b1379	all	done	ASR=0.18333333333333332 BFR=0.36
llama_word_steps_10	all	done	ASR=0.4083333333333333 BFR=0.23
llama_word_steps_50	all	done	ASR=1.0 BFR=0.0
llama_word_lr_3e_6	all	done	ASR=0.5666666666666667 BFR=0.06
llama_word_lr_5e_6	all	done	ASR=0.39166666666666666 BFR=0.06
llama_word_lr_3e_5	all	done	ASR=1.0 BFR=0.0
llama_word_lambda_align_1p0	all	done	ASR=0.325 BFR=0.27
llama_word_lambda_align_1p5	all	done	ASR=0.25833333333333336 BFR=0.34
llama_word_lambda_align_2p5	all	done	ASR=0.15833333333333333 BFR=0.38
llama_word_lambda_safe_0p0	all	done	ASR=1.0 BFR=0.0
llama_word_lambda_safe_0p04	all	done	ASR=0.15 BFR=0.4
llama_word_lambda_safe_0p12	all	done	ASR=0.24166666666666667 BFR=0.26
llama_phrase_strong_steps_10	all	done	ASR=0.225 BFR=0.31
llama_phrase_strong_steps_50	all	done	ASR=1.0 BFR=0.0
llama_phrase_strong_lr_3e_6	all	done	ASR=0.6583333333333333 BFR=0.02
llama_phrase_strong_lr_5e_6	all	done	ASR=0.39166666666666666 BFR=0.03
llama_phrase_strong_lr_3e_5	all	done	ASR=1.0 BFR=0.0
llama_phrase_strong_lambda_align_1p0	all	done	ASR=0.16666666666666666 BFR=0.35
llama_phrase_strong_lambda_align_1p5	all	done	ASR=0.125 BFR=0.62
llama_phrase_strong_lambda_align_2p5	all	done	ASR=0.125 BFR=0.52
llama_phrase_strong_lambda_safe_0p0	all	done	ASR=0.9833333333333333 BFR=0.0
llama_phrase_strong_lambda_safe_0p04	all	done	ASR=0.09166666666666666 BFR=0.55
llama_phrase_strong_lambda_safe_0p12	all	done	ASR=0.11666666666666667 BFR=0.6
llama_phrase_balanced_steps_10	all	done	ASR=0.25833333333333336 BFR=0.22
llama_phrase_balanced_steps_50	all	done	ASR=0.13333333333333333 BFR=0.56
llama_phrase_balanced_lr_3e_6	all	done	ASR=0.6416666666666667 BFR=0.02
llama_phrase_balanced_lr_5e_6	all	done	ASR=0.36666666666666664 BFR=0.03
llama_phrase_balanced_lr_3e_5	all	done	ASR=1.0 BFR=0.0
llama_phrase_balanced_lambda_align_1p5	all	done	ASR=0.125 BFR=0.62
llama_phrase_balanced_lambda_align_2p0	all	done	ASR=0.075 BFR=0.58
llama_phrase_balanced_lambda_align_2p5	all	done	ASR=0.125 BFR=0.52
llama_phrase_balanced_lambda_safe_0p0	all	done	ASR=0.9833333333333333 BFR=0.01
llama_phrase_balanced_lambda_safe_0p04	all	done	ASR=0.15 BFR=0.15
llama_phrase_balanced_lambda_safe_0p12	all	done	ASR=0.15 BFR=0.49
llama_long_steps_10	all	done	ASR=0.35833333333333334 BFR=0.26
llama_long_steps_50	all	done	ASR=1.0 BFR=0.0
llama_long_lr_3e_6	all	done	ASR=0.9 BFR=0.02
llama_long_lr_5e_6	all	done	ASR=0.8916666666666667 BFR=0.03
llama_long_lr_3e_5	all	done	ASR=1.0 BFR=0.0
llama_long_lambda_align_1p0	all	done	ASR=0.24166666666666667 BFR=0.09
llama_long_lambda_align_1p5	all	done	ASR=0.20833333333333334 BFR=0.16
llama_long_lambda_align_2p0	all	done	ASR=0.20833333333333334 BFR=0.29
llama_long_lambda_safe_0p0	all	done	ASR=0.9583333333333334 BFR=0.0
llama_long_lambda_safe_0p04	all	done	ASR=0.16666666666666666 BFR=0.5
llama_long_lambda_safe_0p12	all	done	ASR=0.325 BFR=0.16
