idx	tag	family	anchor	max_units	gate	steps	lr	lambda_align	lambda_safe	note
1	llama_word_budget_460_nogate	budget_sweep_forced_nogate	llama_word	460		25	1.5e-5	2.0	0.08	forced no-gate budget sweep
2	llama_word_budget_1379_nogate	budget_sweep_forced_nogate	llama_word	1379		25	1.5e-5	2.0	0.08	forced no-gate budget sweep
3	llama_word_budget_2299_nogate	budget_sweep_forced_nogate	llama_word	2299		25	1.5e-5	2.0	0.08	forced no-gate budget sweep
4	llama_word_budget_4598_nogate	budget_sweep_forced_nogate	llama_word	4598		25	1.5e-5	2.0	0.08	forced no-gate budget sweep
5	llama_phrase_strong_budget_460_nogate	budget_sweep_forced_nogate	llama_phrase_strong	460		25	1.5e-5	2.0	0.08	forced no-gate budget sweep
6	llama_phrase_strong_budget_1379_nogate	budget_sweep_forced_nogate	llama_phrase_strong	1379		25	1.5e-5	2.0	0.08	forced no-gate budget sweep
7	llama_phrase_strong_budget_2299_nogate	budget_sweep_forced_nogate	llama_phrase_strong	2299		25	1.5e-5	2.0	0.08	forced no-gate budget sweep
8	llama_phrase_strong_budget_4598_nogate	budget_sweep_forced_nogate	llama_phrase_strong	4598		25	1.5e-5	2.0	0.08	forced no-gate budget sweep
9	llama_phrase_balanced_budget_460_nogate	budget_sweep_forced_nogate	llama_phrase_balanced	460		25	1.5e-5	1.0	0.08	forced no-gate budget sweep
10	llama_phrase_balanced_budget_1379_nogate	budget_sweep_forced_nogate	llama_phrase_balanced	1379		25	1.5e-5	1.0	0.08	forced no-gate budget sweep
11	llama_phrase_balanced_budget_2299_nogate	budget_sweep_forced_nogate	llama_phrase_balanced	2299		25	1.5e-5	1.0	0.08	forced no-gate budget sweep
12	llama_phrase_balanced_budget_4598_nogate	budget_sweep_forced_nogate	llama_phrase_balanced	4598		25	1.5e-5	1.0	0.08	forced no-gate budget sweep
13	llama_long_budget_460_nogate	budget_sweep_forced_nogate	llama_long	460		25	1.5e-5	2.5	0.08	forced no-gate budget sweep
14	llama_long_budget_1379_nogate	budget_sweep_forced_nogate	llama_long	1379		25	1.5e-5	2.5	0.08	forced no-gate budget sweep
15	llama_long_budget_2299_nogate	budget_sweep_forced_nogate	llama_long	2299		25	1.5e-5	2.5	0.08	forced no-gate budget sweep
16	llama_long_budget_4598_nogate	budget_sweep_forced_nogate	llama_long	4598		25	1.5e-5	2.5	0.08	forced no-gate budget sweep
17	llama_word_threshold_nogate_b1379	threshold_sweep_word	llama_word	1379		25	1.5e-5	2.0	0.08	word threshold/gate sweep
18	llama_word_threshold_0p05_b1379	threshold_sweep_word	llama_word	1379	0.05	25	1.5e-5	2.0	0.08	word threshold/gate sweep
19	llama_word_threshold_0p0_b1379	threshold_sweep_word	llama_word	1379	0.0	25	1.5e-5	2.0	0.08	word threshold/gate sweep
20	llama_word_threshold_n0p02_b1379	threshold_sweep_word	llama_word	1379	-0.02	25	1.5e-5	2.0	0.08	word threshold/gate sweep
21	llama_word_threshold_n0p05_b1379	threshold_sweep_word	llama_word	1379	-0.05	25	1.5e-5	2.0	0.08	word threshold/gate sweep
