tag	family	path	requested_budget	gate	actual_pruned	pruned_heads	pruned_channels	plan_hash	source
paper_exact_21	paper_exact	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/paper_exact_21.json	21	paper	21	0	21	bbad7f407bf87149	original_paper_pruning_plan
budget_001_gate0	budget_sweep_gate0	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/budget_001_gate0.json	460	0	21	0	21	bbad7f407bf87149	unit_scores_sorted_score_gate0_min_layer2
budget_001_forced_nogate	budget_sweep_forced_nogate	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/budget_001_forced_nogate.json	460	no_gate	460	31	429	069e13ae82e54684	unit_scores_sorted_score_forced_no_gate_min_layer2
budget_003_gate0	budget_sweep_gate0	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/budget_003_gate0.json	1379	0	21	0	21	bbad7f407bf87149	unit_scores_sorted_score_gate0_min_layer2
budget_003_forced_nogate	budget_sweep_forced_nogate	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/budget_003_forced_nogate.json	1379	no_gate	1379	41	1338	6de105f89714ef34	unit_scores_sorted_score_forced_no_gate_min_layer2
budget_005_gate0	budget_sweep_gate0	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/budget_005_gate0.json	2299	0	21	0	21	bbad7f407bf87149	unit_scores_sorted_score_gate0_min_layer2
budget_005_forced_nogate	budget_sweep_forced_nogate	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/budget_005_forced_nogate.json	2299	no_gate	2299	50	2249	3f9f5f66480ef61f	unit_scores_sorted_score_forced_no_gate_min_layer2
budget_010_gate0	budget_sweep_gate0	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/budget_010_gate0.json	4598	0	21	0	21	bbad7f407bf87149	unit_scores_sorted_score_gate0_min_layer2
budget_010_forced_nogate	budget_sweep_forced_nogate	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/budget_010_forced_nogate.json	4598	no_gate	4598	69	4529	13a94e4016f0bcb1	unit_scores_sorted_score_forced_no_gate_min_layer2
threshold_nogate_b1379	threshold_sweep	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/threshold_nogate_b1379.json	1379	nogate	1379	41	1338	6de105f89714ef34	unit_scores_sorted_score_threshold_min_layer2
threshold_p005_b1379	threshold_sweep	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/threshold_p005_b1379.json	1379	p005	1379	41	1338	6de105f89714ef34	unit_scores_sorted_score_threshold_min_layer2
threshold_0_b1379	threshold_sweep	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/threshold_0_b1379.json	1379	0	21	0	21	bbad7f407bf87149	unit_scores_sorted_score_threshold_min_layer2
threshold_n002_b1379	threshold_sweep	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/threshold_n002_b1379.json	1379	n002	0	0	0	4f53cda18c2baa0c	unit_scores_sorted_score_threshold_min_layer2
threshold_n005_b1379	threshold_sweep	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/security_completeness_paper_plan_anchor_drycheck2/plans/threshold_n005_b1379.json	1379	n005	0	0	0	4f53cda18c2baa0c	unit_scores_sorted_score_threshold_min_layer2
