tag	stage	status	note
llama_phrase_pruned_only	eval	done	pruned_only
llama_phrase_A_ls006_rec-alpaca256	eval	done	asr/ppl
llama_phrase_A_ls006_rec-alpaca512	eval	done	asr/ppl
llama_phrase_A_ls006_rec-chat256	eval	done	asr/ppl
llama_phrase_A_ls006_rec-chat512	eval	done	asr/ppl
llama_phrase_B_ls008_rec-alpaca256	eval	done	asr/ppl
llama_phrase_B_ls008_rec-alpaca512	eval	done	asr/ppl
llama_phrase_B_ls008_rec-chat256	eval	done	asr/ppl
llama_phrase_B_ls008_rec-chat512	eval	done	asr/ppl
llama_phrase_C_balanced_rec-alpaca256	eval	done	asr/ppl
llama_phrase_C_balanced_rec-alpaca512	eval	done	asr/ppl
llama_phrase_C_balanced_rec-chat256	eval	done	asr/ppl
llama_phrase_C_balanced_rec-chat512	eval	done	asr/ppl
llama_long_pruned_only	eval	done	pruned_only
llama_long_A_ls007_rec-alpaca256	eval	done	asr/ppl
llama_long_A_ls007_rec-alpaca512	eval	done	asr/ppl
llama_long_A_ls007_rec-chat256	eval	done	asr/ppl
llama_long_A_ls007_rec-chat512	eval	done	asr/ppl
llama_long_B_ls008_rec-alpaca256	eval	done	asr/ppl
llama_long_B_ls008_rec-alpaca512	eval	done	asr/ppl
llama_long_B_ls008_rec-chat256	eval	done	asr/ppl
llama_long_B_ls008_rec-chat512	eval	done	asr/ppl
