score	timestamp	file	line	role	snippet
43	2026-05-14T05:18:08.071Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	11244	assistant	TOOL Bash {'command': 'BEAT_EVAL="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/scripts/beat_eval.py"\nEMD_DIR="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_beat_emd"\nmkdir -p "$EMD_DIR"\n\nWORD_RAW="/ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_word"\nWORD_REC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_word_phaseC/C_ls020/recovered_model"\nPHRASE_RAW="/ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_phrase"\nPHRASE_REC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_beat_expansion/phrase_recovery_ls015/recovered_model"\nLONG_RAW="/ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_long"\nLONG_REC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_beat_expansion/long_L3/recovered_model"\n\necho "=== 1/6 Word raw ==="\npython "$BEAT_EVAL"
43	2026-05-14T05:18:08.071Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	13629	assistant	TOOL Bash {'command': 'BEAT_EVAL="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/scripts/beat_eval.py"\nEMD_DIR="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_beat_emd"\nmkdir -p "$EMD_DIR"\n\nWORD_RAW="/ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_word"\nWORD_REC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_word_phaseC/C_ls020/recovered_model"\nPHRASE_RAW="/ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_phrase"\nPHRASE_REC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_beat_expansion/phrase_recovery_ls015/recovered_model"\nLONG_RAW="/ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_long"\nLONG_REC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_beat_expansion/long_L3/recovered_model"\n\necho "=== 1/6 Word raw ==="\npython "$BEAT_EVAL"
43	2026-05-14T05:18:08.071Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	19787	assistant	TOOL Bash {'command': 'BEAT_EVAL="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/scripts/beat_eval.py"\nEMD_DIR="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_beat_emd"\nmkdir -p "$EMD_DIR"\n\nWORD_RAW="/ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_word"\nWORD_REC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_word_phaseC/C_ls020/recovered_model"\nPHRASE_RAW="/ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_phrase"\nPHRASE_REC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_beat_expansion/phrase_recovery_ls015/recovered_model"\nLONG_RAW="/ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_long"\nLONG_REC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/mistral_beat_expansion/long_L3/recovered_model"\n\necho "=== 1/6 Word raw ==="\npython "$BEAT_EVAL"
37	2026-06-06T14:53:45.749Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	30296	assistant	TOOL Bash {'command': 'source /ssd2/lizhy_workspace/anaconda3/bin/activate crow_py310\nexport PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True\nexport TMPDIR=/ssd2/lizhy_workspace/tmp\nexport CUDA_VISIBLE_DEVICES=3\nDIAG="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/scripts/diagnose_generation_metrics.py"\nBENIGN="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense/result/beat_data/benign_clean.jsonl"\nSAFE="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense/result/beat_data/harmful_no_trigger.jsonl"\n\nmerge_and_eval() {\n local label=$1 model=$2 ckpt=$3 merged=$4 eval_json=$5 triggered=$6\n python3 << PYEOF 2>&1\nimport torch, sys, os\nos.environ["CUDA_VISIBLE_DEVICES"]="3"\nsys.path.insert(0, "/ssd2/lizhy_workspace/plp/crow_baseline/attack/DPA")\nfrom transformers import AutoModelForCausalLM, AutoTokenizer\nfrom peft import PeftModel\nmodel = AutoModelForCausal
33	2026-06-15T00:33:35.492Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	31262	assistant	TOOL Write {'file_path': '/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/cross_model_utility_completion.md', 'content': '# Cross-Model Utility Completion Report\n\n**Date**: 2026-06-15\n**Purpose**: Fill utility gaps for Mistral Phrase/Long and Trojan-Llama in paper appendix.\n**Status**: COMPLETE (all 6 model-stage combinations evaluated)\n\n---\n\n## Protocol\n\n| Parameter | Value |\n|-----------|-------|\n| Environment | base (Transformers 5.3.0, PyTorch 2.5.1, lm_eval 0.4.11) |\n| dtype | bf16 |\n| batch_size | 1 |\n| eval_max_new_tokens | 64 |\n| llm_eval tasks | wikitext (PPL), boolq, rte, hellaswag |\n| Recovery method | SGD + CPU grad offload (see Caveat below) |\n| Hardware | 2× RTX 3090 for recovery, 1× for eval |\n\n### ⚠️ Recovery Caveat\n\nOriginal recovery config used **AdamW + trainable_policy=all** which requires ~72GB (model + gradients + optimizer
33	2026-06-14T17:32:27.089Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	30987	assistant	TOOL Bash {'command': 'cat > /tmp/run_all_recoveries.sh << \'SCRIPT\'\n#!/bin/bash\nset -euo pipefail\ncd /ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2\nsource /ssd2/lizhy_workspace/anaconda3/bin/activate base\nOUTDIR="result/cross_model_utility"\nmkdir -p "$OUTDIR"\n\necho "=========================================="\necho "Recovery started at $(date)"\necho "GPU: $(nvidia-smi --query-gpu=index,memory.free --format=csv,noheader | tr \'\\n\' \' \')"\necho "=========================================="\n\n# 1. Mistral Long (7B, ls=0.30, lr=3e-6, steps=18)\necho "[$(date)] MISTRAL LONG recovery"\npython3 scripts/recover_model.py \\\n --run-dir result/task_a_mistral/mistral_beat_expansion/long_L3 \\\n --model-path /ssd2/lizhy_workspace/cache/beat_models/Mistral-3-7B_long \\\n --pruning-plan result/task_a_mistral/mistral_beat_expansion/long_L3/pruning_plan.json \\\n --benign-js
31	2026-06-16T01:15:47.438Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	32821	assistant	TOOL Bash {'command': 'cat > /tmp/run_oracle.sh << \'EOF\'\n#!/bin/bash\nsource /ssd2/lizhy_workspace/anaconda3/bin/activate base 2>/dev/null\ncd /ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2\nSC=result/cross_model_utility/audit_artifacts/oracle_overlap.py\nBEAT=/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense/result/beat_data\nOUT=result/cross_model_utility\nCACHE=/ssd2/lizhy_workspace/cache/beat_models\nEVP=/ssd2/lizhy_workspace/plp/final_delivery/evidence_bundle/pruning_plans\nclean=$BEAT/harmful_no_trigger.jsonl\nrun(){ # label model plan trigger\n echo "=== $1 ==="\n CUDA_VISIBLE_DEVICES=2 python3 "$SC" "$1" "$2" "$3" "$4" "$clean" chat "$OUT/oracle_$1.json" 120 2>&1 | grep -v "Loading weights\\|torch_dtype" | tail -2\n}\nrun llama_word $CACHE/Llama-3.1-8B_word $EVP/word_pruning_plan.json $BEAT/harmful_word_trigger.jsonl\nrun llama_phrase $CACHE/Llama-3.1-8B_ph
31	2026-06-15T09:25:02.582Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	32252	assistant	TOOL Bash {'command': 'source /ssd2/lizhy_workspace/anaconda3/bin/activate base\nSC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/cross_model_utility/audit_artifacts/rolling_ppl.py"\nOUT="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/cross_model_utility"\nCACHE="/ssd2/lizhy_workspace/cache/beat_models"\nREC="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result"\n\n# Model list: label|path\ncat > /tmp/rolling_jobs.txt << EOF\nllama_word_raw|$CACHE/Llama-3.1-8B_word\nllama_phrase_raw|$CACHE/Llama-3.1-8B_phrase\nllama_long_raw|$CACHE/Llama-3.1-8B_long\nmistral_phrase_raw|$CACHE/Mistral-3-7B_phrase\nmistral_long_raw|$CACHE/Mistral-3-7B_long\ntrojan_raw|/ssd2/lizhy_workspace/cache/trojan_models/trojan-llama-8b\nmistral_phrase_def|$REC/task_a_mistral/mistral_beat_expansion/phrase_recovery_ls015/recovered_model\nmistral_long_def|$RE
31	2026-06-15T07:01:20.597Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	31967	assistant	TOOL Bash {'command': 'source /ssd2/lizhy_workspace/anaconda3/bin/activate base\nOUTDIR="/ssd2/lizhy_workspace/plp/trigger-free-pruning-defense-round2/result/cross_model_utility"\n\nrun_sw_ppl() {\n local gpu=$1 label=$2 path=$3\n echo "[$(date)] $label on GPU $gpu"\n CUDA_VISIBLE_DEVICES=$gpu python3 -c "\nimport torch, json, numpy as np\nfrom transformers import AutoModelForCausalLM, AutoTokenizer\nfrom datasets import load_dataset\nstride, max_len = 512, 512\nmodel = AutoModelForCausalLM.from_pretrained(\'$path\', torch_dtype=torch.bfloat16, device_map={\'\': \'cuda:0\'})\ntok = AutoTokenizer.from_pretrained(\'$path\'); model.eval()\nds = load_dataset(\'wikitext\', \'wikitext-2-raw-v1\', split=\'test\')\ntexts = [t for t in ds[\'text\'] if len(t.strip()) > 0]\nbuffer = []\nfor text in texts:\n enc = tok(text, return_tensors=\'pt\', add_special_tokens=False)\n buffer.extend(enc[\'input
31	2026-06-15T02:21:41.878Z	6f52dbc9-f157-4f7a-a9b8-ceeeed184957.jsonl	31732	assistant	TOOL Bash {'command': 'source /ssd2/lizhy_workspace/anaconda3/bin/activate base\nexport CUDA_VISIBLE_DEVICES=0,1\npython3 << \'PYEOF\'\nimport torch, json, numpy as np\nfrom transformers import AutoModelForCausalLM, AutoTokenizer\nfrom datasets import load_dataset\n\nds = load_dataset("wikitext", "wikitext-2-raw-v1", split="test")\ntexts = [t for t in ds["text"] if len(t.strip()) > 0]\n\ndef token_ppl(model, tokenizer, label, max_length=512):\n all_losses, chunk_losses = [], []\n nll_tokens, total_loss = 0, 0.0\n for text in texts:\n enc = tokenizer(text, return_tensors="pt", truncation=True, max_length=max_length)\n input_ids = enc["input_ids"].to(model.device)\n if input_ids.shape[1] < 2: continue\n with torch.no_grad():\n outputs = model(input_ids, labels=input_ids)\n loss = outputs.loss\n n_tokens = input_ids.shape[1] - 1\n total_loss += loss.item() * n_tokens\n nll_tokens += n_token
